source,pstSn,date,title,url,saved_html,attachments_count,ts,id
counterscam_alert,106,2025-12-17,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_106.html,0,2026-01-20T09:11:41.449Z,counterscam_alert:106
counterscam_notice,103,2025-12-11,怨듭??ы빆 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs001/board/boardDetail.do;jsessionid=4u-DFDfKyxf6DoF2xm_kOS15pCWSp5CmOXpyXn4x.AP_homepage21,corpus/raw/pages/counterscam_notice/pstSn_103.html,0,2026-01-21T11:47:50.204Z,counterscam_notice:103
counterscam_notice,104,2025-12-11,怨듭??ы빆 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs001/board/boardDetail.do;jsessionid=4u-DFDfKyxf6DoF2xm_kOS15pCWSp5CmOXpyXn4x.AP_homepage21,corpus/raw/pages/counterscam_notice/pstSn_104.html,0,2026-01-21T11:47:49.474Z,counterscam_notice:104
counterscam_alert,100,2025-12-11,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_100.html,0,2026-01-20T09:11:41.730Z,counterscam_alert:100
counterscam_notice,99,2025-12-09,怨듭??ы빆 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs001/board/boardDetail.do;jsessionid=4u-DFDfKyxf6DoF2xm_kOS15pCWSp5CmOXpyXn4x.AP_homepage21,corpus/raw/pages/counterscam_notice/pstSn_99.html,9,2026-01-21T11:47:48.675Z,counterscam_notice:99
counterscam_alert,98,2025-11-25,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_98.html,0,2026-01-20T09:11:42.053Z,counterscam_alert:98
police_press,95,2025-11-24,제3회 KB 국민 지키미상 시상식 개최,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_95.html,5,2026-01-21T12:31:25.557Z,police_press:95
police_press,97,2025-11-24,피싱범죄 ‘최적 시간’ 지킨다… 보이스피싱 등 범죄 이용 전화번호 ‘10분 내 차단’,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_97.html,5,2026-01-21T12:31:20.754Z,police_press:97
counterscam_alert,90,2025-11-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_90.html,0,2026-01-20T09:11:43.540Z,counterscam_alert:90
counterscam_alert,91,2025-11-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_91.html,0,2026-01-20T09:11:43.215Z,counterscam_alert:91
counterscam_alert,92,2025-11-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_92.html,0,2026-01-20T09:11:42.933Z,counterscam_alert:92
counterscam_alert,93,2025-11-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_93.html,0,2026-01-20T09:11:42.653Z,counterscam_alert:93
counterscam_alert,94,2025-11-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_94.html,0,2026-01-20T09:11:42.348Z,counterscam_alert:94
counterscam_alert,89,2025-11-11,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_89.html,0,2026-01-20T09:11:43.795Z,counterscam_alert:89
police_press,86,2025-10-31,국가정보자원관리원 화재 상황을 악용한 보이스피싱·스미싱 주의,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_86.html,5,2026-01-21T12:31:51.318Z,police_press:86
police_press,87,2025-10-31,"전기통신금융사기 통합대응단 출범, 범정부 역량 결집해 보이스피싱 통합 대응",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_87.html,5,2026-01-21T12:31:40.203Z,police_press:87
counterscam_alert,85,2025-10-15,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_85.html,0,2026-01-20T09:11:44.086Z,counterscam_alert:85
counterscam_alert,84,2025-10-01,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_84.html,0,2026-01-20T09:11:44.716Z,counterscam_alert:84
counterscam_alert,83,2025-09-15,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_83.html,0,2026-01-20T09:11:45.000Z,counterscam_alert:83
counterscam_alert,82,2025-09-01,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_82.html,0,2026-01-20T09:11:45.265Z,counterscam_alert:82
counterscam_alert,80,2025-08-26,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_80.html,0,2026-01-20T09:11:45.525Z,counterscam_alert:80
counterscam_alert,79,2025-08-12,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_79.html,0,2026-01-20T09:11:45.793Z,counterscam_alert:79
counterscam_alert,73,2025-07-31,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_73.html,0,2026-01-20T09:11:46.364Z,counterscam_alert:73
counterscam_alert,74,2025-07-31,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_74.html,0,2026-01-20T09:11:46.071Z,counterscam_alert:74
counterscam_alert,72,2025-07-22,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_72.html,0,2026-01-20T09:11:46.714Z,counterscam_alert:72
counterscam_alert,71,2025-07-10,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_71.html,0,2026-01-20T09:11:47.024Z,counterscam_alert:71
counterscam_alert,70,2025-07-04,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_70.html,0,2026-01-20T09:11:47.304Z,counterscam_alert:70
counterscam_alert,69,2025-06-30,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_69.html,1,2026-01-20T09:12:46.167Z,counterscam_alert:69
counterscam_alert,68,2025-06-27,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_68.html,0,2026-01-20T09:12:46.589Z,counterscam_alert:68
counterscam_alert,67,2025-06-20,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_67.html,0,2026-01-20T09:12:46.989Z,counterscam_alert:67
counterscam_alert,66,2025-06-13,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_66.html,0,2026-01-20T09:12:47.438Z,counterscam_alert:66
police_press,63,2025-06-05,"경찰청, 다중피해 사기 범죄 대응을 위해 아태지역 10개국과 국제 공조체계 구축",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_63.html,5,2026-01-21T12:31:55.863Z,police_press:63
counterscam_alert,64,2025-06-05,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_64.html,0,2026-01-20T09:12:47.864Z,counterscam_alert:64
counterscam_alert,61,2025-05-30,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_61.html,0,2026-01-20T09:12:48.727Z,counterscam_alert:61
counterscam_alert,62,2025-05-30,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_62.html,1,2026-01-20T09:12:48.289Z,counterscam_alert:62
police_press,60,2025-05-28,"그놈 목소리, 치밀한 각본 주인공이 되시겠습니까",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_60.html,8,2026-01-21T12:32:04.428Z,police_press:60
counterscam_alert,59,2025-05-23,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_59.html,0,2026-01-20T09:12:49.168Z,counterscam_alert:59
counterscam_alert,57,2025-05-22,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_57.html,0,2026-01-20T09:12:50.030Z,counterscam_alert:57
counterscam_alert,58,2025-05-22,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_58.html,0,2026-01-20T09:12:49.587Z,counterscam_alert:58
counterscam_alert,52,2025-05-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_52.html,0,2026-01-20T09:12:52.606Z,counterscam_alert:52
counterscam_alert,53,2025-05-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_53.html,0,2026-01-20T09:12:52.150Z,counterscam_alert:53
counterscam_alert,54,2025-05-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_54.html,0,2026-01-20T09:12:51.713Z,counterscam_alert:54
counterscam_alert,55,2025-05-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_55.html,0,2026-01-20T09:12:51.279Z,counterscam_alert:55
counterscam_alert,56,2025-05-19,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_56.html,0,2026-01-20T09:12:50.849Z,counterscam_alert:56
counterscam_alert,51,2025-05-15,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_51.html,1,2026-01-20T09:12:53.030Z,counterscam_alert:51
counterscam_alert,49,2025-04-29,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_49.html,1,2026-01-20T09:12:53.550Z,counterscam_alert:49
counterscam_alert,48,2025-03-28,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_48.html,1,2026-01-20T09:12:54.078Z,counterscam_alert:48
counterscam_alert,43,2025-02-24,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_43.html,1,2026-01-20T09:12:54.534Z,counterscam_alert:43
police_press,37,2025-01-24,"갈수록 진짜 같은 전화금융사기, 가스라이팅의 덫",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_37.html,5,2026-01-21T12:32:10.209Z,police_press:37
counterscam_alert,36,2025-01-24,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_36.html,1,2026-01-20T09:12:54.974Z,counterscam_alert:36
counterscam_alert,6,2024-12-16,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_6.html,0,2026-01-20T09:12:57.060Z,counterscam_alert:6
counterscam_alert,7,2024-12-16,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_7.html,0,2026-01-20T09:12:56.618Z,counterscam_alert:7
counterscam_alert,8,2024-12-16,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_8.html,0,2026-01-20T09:12:56.153Z,counterscam_alert:8
counterscam_alert,9,2024-12-16,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_9.html,0,2026-01-20T09:12:55.746Z,counterscam_alert:9
police_press,5,2024-11-08,딥페이크를 악용한 자녀납치형 전화금융사기 주의,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_5.html,5,2026-01-21T12:32:14.988Z,police_press:5
police_press,4,2024-10-24,"기관사칭형 보이스피싱, 60대 여성을 노린다",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_4.html,5,2026-01-21T12:32:23.214Z,police_press:4
police_press,3,2024-10-16,나도 모르는 사이에 내 휴대전화가 좀비 폰으로?,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_3.html,5,2026-01-21T12:32:30.257Z,police_press:3
counterscam_alert,003,2024-10-16,?쇱떛 ?덈낫쨌寃쎈낫 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do,corpus/raw/pages/counterscam_alert/pstSn_003.html,2,2026-01-20T14:36:26.334Z,counterscam_alert:003
police_press,2,2024-07-18,"피싱 범죄, 간편하게 제보하고 신속하게 차단한다!",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_2.html,5,2026-01-21T12:32:37.546Z,police_press:2
police_press,1,2024-05-14,"전기통신금융사기 통합신고대응센터 출범 200일, 피싱범죄 신고·제보 일원화로 예방까지 한번에",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21,corpus/raw/pages/police_press/pstSn_1.html,5,2026-01-21T12:32:44.826Z,police_press:1
counterscam_notice,001,2024-05-14,怨듭??ы빆 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs001/board/boardDetail.do,corpus/raw/pages/counterscam_notice/pstSn_001.html,2,2026-01-20T14:37:14.965Z,counterscam_notice:001
counterscam_faq,006,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_006.html,0,2026-01-20T14:40:15.339Z,counterscam_faq:006
counterscam_faq,10,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_10.html,0,2026-01-20T14:15:30.554Z,counterscam_faq:10
counterscam_faq,11,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_11.html,0,2026-01-20T14:15:29.762Z,counterscam_faq:11
counterscam_faq,12,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_12.html,0,2026-01-20T14:15:28.996Z,counterscam_faq:12
counterscam_faq,13,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_13.html,0,2026-01-20T14:15:28.218Z,counterscam_faq:13
counterscam_faq,14,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_14.html,0,2026-01-20T14:15:27.434Z,counterscam_faq:14
counterscam_faq,15,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_15.html,0,2026-01-20T14:15:26.676Z,counterscam_faq:15
counterscam_faq,16,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_16.html,0,2026-01-20T14:15:25.136Z,counterscam_faq:16
counterscam_faq,17,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_17.html,0,2026-01-20T14:15:24.344Z,counterscam_faq:17
counterscam_faq,18,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_18.html,0,2026-01-20T14:15:23.558Z,counterscam_faq:18
counterscam_faq,19,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_19.html,0,2026-01-20T14:15:22.793Z,counterscam_faq:19
counterscam_faq,20,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_20.html,0,2026-01-20T14:15:21.990Z,counterscam_faq:20
counterscam_faq,21,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_21.html,0,2026-01-20T14:15:21.222Z,counterscam_faq:21
counterscam_faq,22,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_22.html,0,2026-01-20T14:15:20.489Z,counterscam_faq:22
counterscam_faq,23,,?먯＜臾삳뒗 吏덈Ц 寃뚯떆湲 蹂닿린,https://www.counterscam112.go.kr/bbs006/board/boardDetail.do,corpus/raw/pages/counterscam_faq/pstSn_23.html,0,2026-01-20T14:15:19.722Z,counterscam_faq:23
