key	subkey	count
meta	dataset	.\datasets\ko_scam\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl
meta	sim	OFF
meta	cases	510
meta	pass	441
meta	fail	69
reason	risk_mismatch	51
reason	stage_mismatch	15
reason	score_below_min	9
risk_pair	high->medium	42
risk_pair	high->high	15
risk_pair	low->medium	6
risk_pair	low->low	3
risk_pair	medium->high	3
stage_pair	verify->verify	33
stage_pair	install->install	9
stage_pair	payment->payment	9
stage_pair	info->info	3
stage_pair	info->verify	3
stage_pair	payment->install	3
stage_pair	payment->verify	3
stage_pair	verify->install	3
stage_pair	verify->payment	3
