"dataset","sim","cases","pass","fail","failDump"
"C:\projects\phish-demo\datasets\ko_scam\_lint_bad_20260209_033221.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_lint_bad_20260209_033221.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_lint_ok_20260209_033221.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_lint_ok_20260209_033221.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_low.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_low.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_low.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_low.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_nonlow.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_nonlow.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_nonlow.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_parents_nonlow.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_plusVariants_e3.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_plusVariants_e3.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_plusVariants_e3.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_plusVariants_e3.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_engineAligned.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_engineAligned.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_engineAligned.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_engineAligned.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_K3.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_K3.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_K3.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_K3.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.engineRelabeled_2026-02-08.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.engineRelabeled_2026-02-08.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.policyRelabeled_2026-02-08.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\_trash_20260209_033221\scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.policyRelabeled_2026-02-08.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_fuzz_latest.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_fuzz_latest.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_fuzz_latest.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_fuzz_latest.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.fails.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.fails.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.fails.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.fails.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_raw.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_snapshot.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_snapshot.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_snapshot.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\generated_seed_1234_snapshot.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400.policyRelabeled.jsonl","simOFF","0","0","0",""
