"manifest"	"family"	"ops"	"input"
"mutated_2026-01-31_mlmv1_fix1_manifest.json"	"mlmv1"	"lexical_subst"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_2026-01-31_mlmv1_fix2_manifest.json"	"mlmv1"	"lexical_subst"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_2026-01-31_mlmv1_fix3_manifest.json"	"mlmv1"	"lexical_subst"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_2026-01-31_mlmv1_fix4_manifest.json"	"mlmv1"	"lexical_subst"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_2026-01-31_mlmv1_manifest.json"	"mlmv1"	"lexical_subst"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_manifest.json"	"fast200"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v2_manifest.json"	"fast200"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v2_preset_enggate_manifest.json"	"fast200"	"anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v2_preset_manifest.json"	"fast200"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v3_manifest.json"	"fast200"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v4_enggate_200_manifest.json"	"fast200"	"anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v4_enggate_manifest.json"	"fast200"	"anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v4_enggate_shake_smoke_manifest.json"	"enggate_shake"	"shake_noise,anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v4_enggate_smoke_manifest.json"	"fast200"	"anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fast200_v4_manifest.json"	"fast200"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fix5_manifest.json"	"fix"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fix6_a_manifest.json"	"fix"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fix6_b_manifest.json"	"fix"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"mutated_fix6_c_manifest.json"	"fix"	""	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_enggate_shake_400_manifest.json"	"enggate_shake"	"shake_noise,anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_enggate_shake_400_v2_manifest.json"	"enggate_shake"	"shake_noise,anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_enggate_shake_400_v3_manifest.json"	"enggate_shake"	"shake_noise,anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_enggate_shake_400_v4_manifest.json"	"enggate_shake"	"shake_noise,anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_enggate_shake_400_v5_manifest.json"	"enggate_shake"	"shake_noise,anchor_gated"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_one_KO-2007_mut_manifest.json"	"unknown"	""	"datasets/ko_scam/mutated/_one_KO-2007.jsonl"
"_shake_afterfix_manifest.json"	"shake"	"shake_noise"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_stylepreserve_400_manifest.json"	"stylepreserve"	"style_preserve"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
"_stylepreserve_smoke30_manifest.json"	"stylepreserve"	"style_preserve"	"datasets/ko_scam/scenarios_ko_v4_eval_engineAligned_variants_e3_mutateR_urlfixed.jsonl"
