pstSn,count,firstTs,lastTs,sample_status,sample_url,sample_final_url,sample_via,sample_referer
87,68,2026-01-21T12:31:38.305Z,2026-01-21T15:23:27.613Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000099&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000099&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
60,64,2026-01-21T12:31:58.942Z,2026-01-21T13:51:36.724Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000090&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000090&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
97,48,2026-01-21T12:31:18.799Z,2026-01-21T13:50:53.953Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000104&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000104&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
95,48,2026-01-21T12:31:23.401Z,2026-01-21T13:50:59.791Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000102&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000102&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
86,48,2026-01-21T12:31:49.471Z,2026-01-21T13:51:22.380Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000098&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000098&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
63,48,2026-01-21T12:31:54.117Z,2026-01-21T13:51:27.251Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000092&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000092&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
37,48,2026-01-21T12:32:08.391Z,2026-01-21T13:51:44.232Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000081&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000081&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
5,48,2026-01-21T12:32:13.223Z,2026-01-21T13:51:49.628Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000080&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000080&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
3,48,2026-01-21T12:32:28.433Z,2026-01-21T13:52:07.270Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000077&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000077&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
2,48,2026-01-21T12:32:35.600Z,2026-01-21T13:52:16.999Z,404,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000076&fileSn=1,https://www.counterscam112.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000000076&fileSn=1,fn_fileDownload+FileDown+HEAD,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do;jsessionid=VgS0asCnAu8l77XTTiZLWSO7rAqbEB2QF9kAIkB-.AP_homepage21
