key	subkey	count
meta	dataset	datasets\ko_scam\generated_seed_1234_raw.jsonl
meta	sim	OFF
meta	cases	500
meta	pass	377
meta	fail	123
reason	risk_mismatch	105
reason	stage_mismatch	66
reason	score_below_min	6
risk_pair	high->medium	49
risk_pair	low->medium	29
risk_pair	high->high	12
risk_pair	medium->high	11
risk_pair	high->low	6
risk_pair	low->low	6
risk_pair	low->high	5
risk_pair	medium->low	5
stage_pair	verify->verify	40
stage_pair	info->verify	33
stage_pair	verify->info	23
stage_pair	info->info	17
stage_pair	info->install	10
