id	src_id	theme	target_label	src_label	sim
DEMO-CAT-prosecutor_police_impersonation-high-0001	LLM-3061	prosecutor_police_impersonation	high	high	0.6946423053741455
DEMO-CAT-prosecutor_police_impersonation-medium-0002	LLM-3140	prosecutor_police_impersonation	medium	medium	0.6481915712356567
DEMO-CAT-prosecutor_police_impersonation-low-0003	LLM-3170	prosecutor_police_impersonation	low	low	0.6377989053726196
DEMO-CAT-safe_case-high-0004	LLM-3043	safe_case	high	high	0.7908176183700562
DEMO-CAT-safe_case-medium-0005	LLM-3083	safe_case	medium	medium	0.6429305076599121
DEMO-CAT-safe_case-low-0006	LLM-3177	safe_case	low	low	0.5852977633476257
DEMO-CAT-bank_impersonation-high-0007	LLM-3060	bank_impersonation	high	high	0.6826927661895752
DEMO-CAT-bank_impersonation-medium-0008	LLM-3128	bank_impersonation	medium	medium	0.664589524269104
DEMO-CAT-bank_impersonation-low-0009	LLM-3197	bank_impersonation	low	low	0.653852105140686
DEMO-CAT-account_seizure-high-0010	LLM-3030	account_seizure	high	high	0.690888524055481
DEMO-CAT-account_seizure-medium-0011	LLM-3091	account_seizure	medium	medium	0.7591187953948975
DEMO-CAT-account_seizure-low-0012	LLM-3179	account_seizure	low	low	0.5853472352027893
DEMO-CAT-card_issue-high-0013	LLM-3056	card_issue	high	high	0.6894314289093018
DEMO-CAT-card_issue-medium-0014	LLM-3086	card_issue	medium	medium	0.7104240655899048
DEMO-CAT-card_issue-low-0015	LLM-3173	card_issue	low	low	0.6211813688278198
DEMO-CAT-remote_app_install-high-0016	LLM-3045	remote_app_install	high	high	0.6923645734786987
DEMO-CAT-remote_app_install-medium-0017	LLM-3134	remote_app_install	medium	medium	0.5326111316680908
DEMO-CAT-remote_app_install-low-0018	LLM-3178	remote_app_install	low	low	0.4804217517375946
DEMO-CAT-delivery_phishing-high-0019	LLM-3012	delivery_phishing	high	high	0.5961642265319824
DEMO-CAT-delivery_phishing-medium-0020	LLM-3102	delivery_phishing	medium	medium	0.8427853584289551
DEMO-CAT-delivery_phishing-low-0021	LLM-3193	delivery_phishing	low	low	0.6052526831626892
DEMO-CAT-government_subsidy-high-0022	LLM-3068	government_subsidy	high	high	0.6032013893127441
DEMO-CAT-government_subsidy-medium-0023	LLM-3142	government_subsidy	medium	medium	0.6659650802612305
DEMO-CAT-government_subsidy-low-0024	LLM-3167	government_subsidy	low	low	0.6391646265983582
DEMO-CAT-invoice_tax-high-0025	LLM-3046	invoice_tax	high	high	0.5815489292144775
DEMO-CAT-invoice_tax-medium-0026	LLM-3137	invoice_tax	medium	medium	0.6553701162338257
DEMO-CAT-invoice_tax-low-0027	LLM-3165	invoice_tax	low	low	0.5987906455993652
DEMO-CAT-loan_scam-high-0028	LLM-3029	loan_scam	high	high	0.6219490766525269
DEMO-CAT-loan_scam-medium-0029	LLM-3126	loan_scam	medium	medium	0.5944154262542725
DEMO-CAT-loan_scam-low-0030	LLM-3191	loan_scam	low	low	0.5271701812744141
DEMO-CAT-cash_pickup-high-0031	LLM-3025	cash_pickup	high	high	0.6808171272277832
DEMO-CAT-cash_pickup-medium-0032	LLM-3119	cash_pickup	medium	medium	0.5552409887313843
DEMO-CAT-cash_pickup-low-0033	LLM-3163	cash_pickup	low	low	0.5238722562789917
DEMO-CAT-go_bank_atm-high-0034	LLM-3077	go_bank_atm	high	high	0.6361743807792664
DEMO-CAT-go_bank_atm-medium-0035	LLM-3112	go_bank_atm	medium	medium	0.5908583402633667
DEMO-CAT-go_bank_atm-low-0036	LLM-3188	go_bank_atm	low	low	0.46450623869895935
DEMO-CAT-family_emergency-high-0037	LLM-3024	family_emergency	high	high	0.6216152310371399
DEMO-CAT-family_emergency-medium-0038	LLM-3123	family_emergency	medium	medium	0.5795773267745972
DEMO-CAT-family_emergency-low-0039	LLM-3174	family_emergency	low	low	0.5019825100898743
DEMO-CAT-romance_investment-high-0040	LLM-3075	romance_investment	high	high	0.6211691498756409
DEMO-CAT-romance_investment-medium-0041	LLM-3129	romance_investment	medium	medium	0.6037994027137756
DEMO-CAT-romance_investment-low-0042	LLM-3161	romance_investment	low	low	0.4940379559993744
DEMO-CAT-messenger_phishing-high-0043	LLM-3019	messenger_phishing	high	high	0.6301025152206421
DEMO-CAT-messenger_phishing-medium-0044	LLM-3154	messenger_phishing	medium	medium	0.6464606523513794
DEMO-CAT-messenger_phishing-low-0045	LLM-3199	messenger_phishing	low	low	0.5612783432006836
DEMO-CAT-job_highpay_abroad-high-0046	LLM-3054	job_highpay_abroad	high	high	0.6720815896987915
DEMO-CAT-job_highpay_abroad-medium-0047	LLM-3124	job_highpay_abroad	medium	medium	0.557928204536438
DEMO-CAT-job_highpay_abroad-low-0048	LLM-3190	job_highpay_abroad	low	low	0.45549413561820984
DEMO-CAT-gifticon_market-high-0049	LLM-3009	gifticon_market	high	high	0.6429025530815125
DEMO-CAT-gifticon_market-medium-0050	LLM-3087	gifticon_market	medium	medium	0.551793098449707
DEMO-CAT-gifticon_market-low-0051	LLM-3185	gifticon_market	low	low	0.45708802342414856
DEMO-CAT-gray_zone-high-0052	LLM-3020	gray_zone	high	high	0.5487158298492432
DEMO-CAT-gray_zone-medium-0053	LLM-3121	gray_zone	medium	medium	0.531661868095398
